"","screen_name","text","lang","name","location","description","account_lang","place_name","place_full_name","place_type","country","country_code","user_id","status_id","created_at","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","ext_media_type","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","status_url","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","profile_banner_url","profile_background_url","profile_image_url"
"1","destrcction","C’est avec une envie grandissante de me faire pomper que j’apparais de nouveau.","fr","𝕮𝖍𝖆𝖗𝖑𝖊𝖘.","London, England","𝖴𝗇 𝗌𝗈𝗂𝗋, 𝗉𝖾́𝗍𝖾́ 𝗌𝗈𝗎𝗌 𝗅𝖾𝗌 𝗋𝖾́𝗏𝖾𝗋𝖻𝖾̀𝗋𝖾𝗌. 𝖯𝖾𝗎𝗍-𝖾̂𝗍𝗋𝖾 𝗊𝗎𝖾 𝗃𝖾 𝗆𝖾 𝗋𝖾𝗍𝗈𝗎𝗋𝗇𝖾𝗋𝖺𝗂𝗌 𝗏𝖾𝗋𝗌 𝗍𝗈𝗂. — 13.","en-GB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ADDMoore93","@jasonschreier Schreier with he HOT tips good to know.","en","ADDMoore","london","I am a man of fortune and I must seek my fortune. Henry Avery 1694","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","HolyTurkl","@IllcQ @wel2o @_rGd19 هههههههههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههههههههه","ar","تُركي","CR7","رأسي متربع لشيطان يأتي متى ما شاء، يتربع اينما شاء، انا عرش الشيطان اسقيه نبيذ دمي والملائكة لا تعرف إلي طريقًا. https://t.co/F7hp0FV02C","ar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","yuuto_NSG","もう少しの間だけ公開アカウントとして稼働させますb

NSGカレッジリーグの学生さんフォローしてくれると嬉しいです٩( ᐛ )و

FF外の方のDMも取得しますb
DMは何でもお気軽にどうぞb","ja","ゆ ( ᐛ ) と","NSG","NSGカレッジリーグ-GIA-MS2 @Ciel_MS_ でいつもお世話になってますb こちらはある学生さんのみ歓迎のアカウントです。 趣味で始めたダンスが上手くなりたい人٩( ᐛ )و DMは遠慮なく何でも言ってくださいb","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","RoboDefenceBird","Chile inicia competencia de escalada para elegir el equipo de Cinque Torri https://t.co/vi9WMLNdDc https://t.co/1R3Ggv52GN","es","RobotDefenceBird","Washington, DC and London","I'm a DefenceBirdie. Don't expect me to reply. I'm just a Twitterbot! Want cutting edge stories about space and defence tech? Be sure to follow @DefenceBird.","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","TheEconomist","Deutsche Bank and Commerzbank call off merger talks https://t.co/ydPliEEGec","de","The Economist","London","News and analysis with a global perspective.  Subscribe here: https://t.co/owztJzwlmm","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Tyrian3","@_Mdk7_ Come sta la micia?","it","Luca ^Tyrian^","London, England","Married😃Gamer/Retrogamer,amateur guitarist,REM lover,Juventus FC fan,Whovian,Nintendo-holic,Mass Effect Master,Civ III addict,Fallout nut,100% Italian geek!","it",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","skiespointeight","Blue rose : song mino bukan? https://t.co/C7oVmDZcfr","in","byefangirl","London, England","2019 will be amazing

9 des 2018 :MINO WORE MY GIFT

 
Bye fangirl addicted.","id",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","39JnH","자넨 늘 그런 식이지. 됐네. 이젠 적응할 때도 됐지. (의자에 축 늘어져서 눈을 감는다.)","ko","Henry Jekyll","london, England","할 일이 아직 남았거든요. @19JnH ...자네는 없겠지만.","ko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","itssdelicatee","Heyecanı Yok irileştirmek kişileştirme tulumba kolu","tr","daydream🌴4.26","London, England","waitin' for 4.26","tr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
